generations,0.1% mean,0.1% max,1% mean,1% max,2% mean,2% max,5% mean,5% max,10% mean,10% max,20% mean,20% max
1,0.20488772,0.822055936,0.145976352,0.675851749,0.171693713,0.707334034,0.171332199,0.728977884,0.161662923,0.774739094,0.169321616,0.791009948
2,0.214385465,0.822055936,0.142610318,0.675851749,0.179165091,0.707334034,0.185415293,0.698466854,0.163262698,0.774739094,0.164773679,0.791009948
3,0.255075493,0.830487366,0.236251014,0.749866976,0.241125087,0.722476048,0.249936668,0.75578473,0.217820137,0.797345113,0.227772131,0.800796792
4,0.277932738,0.906128643,0.280351952,0.844776154,0.275414922,0.740774471,0.294317126,0.822531167,0.2873049,0.797345113,0.245706904,0.800796792
5,0.304768367,0.922782711,0.284475276,0.844776154,0.289609921,0.743400348,0.303976451,0.831022774,0.274196237,0.797345113,0.294060805,0.800796792
6,0.333515749,0.922782711,0.32649601,0.878619403,0.301450493,0.771844469,0.296426596,0.840911031,0.305514563,0.842117903,0.33807896,0.823390621
7,0.350745903,0.922782711,0.30898931,0.878619403,0.314255121,0.771844469,0.338577868,0.840911031,0.309321976,0.842117903,0.336523899,0.823390621
8,0.356592449,0.922782711,0.354002276,0.902475875,0.339463428,0.801026018,0.323511651,0.840911031,0.321407072,0.857648185,0.355801016,0.848999381
9,0.371121557,0.937943758,0.340399899,0.902475875,0.342554675,0.801026018,0.334119747,0.840911031,0.335389711,0.857648185,0.337886291,0.848999381
10,0.370927404,0.937943758,0.339531278,0.905666504,0.346662431,0.818255055,0.355392685,0.864848092,0.350152857,0.857648185,0.335441418,0.848999381
11,0.390958308,0.960125574,0.370421038,0.926319035,0.360858914,0.818255055,0.35805788,0.864848092,0.360018598,0.860013165,0.345913748,0.848999381
12,0.404716502,0.960125574,0.364540136,0.940718446,0.361839509,0.818255055,0.38485391,0.864848092,0.33820939,0.86206107,0.372468996,0.848999381
13,0.400735318,0.960125574,0.385724798,0.960832944,0.38257837,0.818255055,0.39973183,0.864848092,0.38345461,0.86206107,0.401537261,0.848999381
14,0.406692749,0.960125574,0.391648691,0.940718446,0.377409015,0.841324035,0.386090332,0.864848092,0.382252665,0.86206107,0.414653143,0.86454655
15,0.399372412,0.960125574,0.383610206,0.952201494,0.386822928,0.841324035,0.3799737,0.864848092,0.406442187,0.913438435,0.376610672,0.86454655
16,0.415062696,0.960125574,0.407903713,0.952201494,0.383687642,0.843850062,0.387664939,0.864848092,0.381100985,0.913438435,0.406472748,0.86454655
17,0.398375383,0.960125574,0.406199602,0.952201494,0.401241961,0.843850062,0.405247408,0.868210391,0.405184359,0.913438435,0.43246805,0.882634596
18,0.413962668,0.960125574,0.422950036,0.952201494,0.414638232,0.861496239,0.403783548,0.868210391,0.407929568,0.913438435,0.449636489,0.882634596
19,0.429853651,0.960125574,0.408577511,0.952201494,0.409043484,0.881739913,0.417285774,0.868210391,0.390714167,0.913438435,0.451739166,0.888012157
20,0.423363496,0.960125574,0.435065596,0.952201494,0.410446458,0.881739913,0.422522906,0.878665921,0.403499628,0.913438435,0.423417739,0.888012157
21,0.41922438,0.960125574,0.407569343,0.952201494,0.405121536,0.881739913,0.430608354,0.878665921,0.397185859,0.913438435,0.408982472,0.888012157
22,0.443447093,0.960125574,0.412695454,0.960648518,0.418327976,0.881739913,0.409419271,0.880259784,0.409533089,0.913438435,0.413227394,0.888012157
23,0.433049981,0.960125574,0.440854431,0.961574129,0.401005916,0.881739913,0.44794379,0.880259784,0.424977965,0.913438435,0.427084559,0.927620851
24,0.41127505,0.965976904,0.419128324,0.961574129,0.402360749,0.881739913,0.417795854,0.883821196,0.385556127,0.913438435,0.441547048,0.927620851
25,0.41127314,0.965976904,0.423504035,0.961574129,0.431151536,0.881739913,0.444713764,0.89010037,0.405176314,0.913438435,0.454430467,0.927620851
26,0.437719442,0.965976904,0.423677742,0.961574129,0.430758104,0.881739913,0.450945924,0.89010037,0.444638294,0.938011237,0.450409872,0.927620851
27,0.439660928,0.965976904,0.433115747,0.961574129,0.418298023,0.901930548,0.455974121,0.914890371,0.43676783,0.938011237,0.447585005,0.927620851
28,0.439200495,0.971105179,0.426775571,0.961574129,0.431554063,0.901930548,0.442466624,0.914890371,0.428910681,0.938011237,0.442112195,0.927620851
29,0.446212548,0.981056489,0.445300039,0.973524063,0.414811686,0.903270396,0.432798103,0.920342847,0.444942293,0.940768435,0.452813371,0.927620851
30,0.450031001,0.981056489,0.439547569,0.973524063,0.425046763,0.903270396,0.452041964,0.934936279,0.427511755,0.940768435,0.433928954,0.927620851
31,0.422320493,0.981056489,0.452766777,0.973524063,0.438375551,0.903270396,0.456074318,0.934936279,0.425858573,0.940768435,0.475308156,0.98056078
32,0.436989833,0.981056489,0.441258912,0.980883304,0.41544206,0.903270396,0.459815989,0.945423688,0.439617702,0.940768435,0.446738678,0.98056078
33,0.442356286,0.981056489,0.437477227,0.980883304,0.440697905,0.903270396,0.452974688,0.945423688,0.441104052,0.940768435,0.460334687,0.98056078
34,0.443285175,0.981056489,0.448357157,0.980883304,0.451291451,0.903643177,0.46219049,0.945423688,0.44211099,0.940768435,0.463274633,0.98056078
35,0.43873782,0.981056489,0.461873714,0.980883304,0.430692305,0.903643177,0.456164085,0.945423688,0.465534496,0.940768435,0.47492948,0.98056078
36,0.480481835,0.981056489,0.451273108,0.980883304,0.454098624,0.903643177,0.443004138,0.945423688,0.461357651,0.940768435,0.479034835,0.98056078
37,0.455472675,0.981056489,0.465540665,0.980883304,0.447622033,0.903643177,0.444763567,0.945423688,0.430684673,0.940768435,0.47165875,0.98056078
38,0.447631307,0.981056489,0.446788615,0.980883304,0.454934628,0.906394849,0.437937579,0.945423688,0.428954235,0.940768435,0.477546606,0.98056078
39,0.467737593,0.981056489,0.444411013,0.980883304,0.455261256,0.918566606,0.475297437,0.955140041,0.465921264,0.940768435,0.447145286,0.98056078
40,0.468937946,0.981056489,0.453220964,0.980883304,0.445689417,0.918566606,0.453440009,0.955140041,0.458665201,0.940768435,0.481474561,0.98056078
41,0.46787132,0.981056489,0.436401226,0.980883304,0.444659704,0.924493765,0.471117907,0.955140041,0.45710516,0.940768435,0.471372034,0.98056078
42,0.459260318,0.981056489,0.456375368,0.980883304,0.46740131,0.924493765,0.468292927,0.955140041,0.443543294,0.940768435,0.478289128,0.98056078
43,0.484765071,0.981056489,0.469589497,0.980883304,0.454338247,0.924493765,0.451584439,0.955140041,0.460144682,0.940768435,0.47543043,0.98056078
44,0.473326922,0.981056489,0.457014887,0.980883304,0.451491398,0.939959876,0.470824387,0.955140041,0.469457845,0.940768435,0.470386298,0.98056078
45,0.492458524,0.981056489,0.442420071,0.980883304,0.468899909,0.939959876,0.454426764,0.939971212,0.459570197,0.940768435,0.473405516,0.986810992
46,0.504544881,0.981056489,0.444805944,0.980883304,0.472013964,0.939959876,0.456869904,0.939971212,0.456483506,0.940768435,0.480355748,0.986810992
47,0.505158947,0.981056489,0.468713799,0.99582196,0.464651831,0.939959876,0.472807155,0.939971212,0.464229681,0.940768435,0.500778879,0.986810992
48,0.465875388,0.981056489,0.461745593,0.99582196,0.482703591,0.939959876,0.463270192,0.939971212,0.496139555,0.940768435,0.469799954,0.986810992
49,0.477732566,0.981056489,0.465446197,0.99582196,0.456829032,0.939959876,0.487617513,0.939971212,0.451671108,0.940768435,0.474137749,0.986810992
50,0.494791277,0.981056489,0.459639937,0.99582196,0.483165301,0.939959876,0.47616934,0.939971212,0.484045237,0.986815672,0.471933941,0.986810992
51,0.490205835,0.981056489,0.480770641,0.99582196,0.451745415,0.939959876,0.488914885,0.939971212,0.472694658,0.986815672,0.478365432,0.986810992
52,0.513491724,0.985967797,0.466968153,0.99582196,0.471341803,0.956882325,0.47114735,0.939971212,0.480656223,0.986815672,0.48014512,0.986810992
53,0.493107809,0.985967797,0.470046915,0.99582196,0.448871553,0.956882325,0.471828751,0.939971212,0.477324857,0.986815672,0.487605739,0.986810992
54,0.500423655,0.985967797,0.491534849,0.99582196,0.466308892,0.956882325,0.476758604,0.939971212,0.476177276,0.986815672,0.495495163,0.986810992
55,0.503297245,0.985967797,0.495326303,0.99582196,0.482375347,0.961574501,0.493224917,0.939971212,0.478451541,0.986815672,0.487102542,0.986810992
56,0.509583896,0.985967797,0.465990788,0.99582196,0.47434157,0.961574501,0.467289547,0.939971212,0.46474561,0.986815672,0.485138829,0.986810992
57,0.515102714,0.985967797,0.482389452,0.99582196,0.477381471,0.961574501,0.46481019,0.939971212,0.464703729,0.986815672,0.489444929,0.986810992
58,0.504091545,0.985967797,0.458226737,0.99582196,0.463370913,0.984151644,0.485867912,0.941183979,0.498210835,0.986815672,0.46927122,0.986810992
59,0.490471068,0.985967797,0.469203452,0.99582196,0.458047914,0.984151644,0.471453706,0.941183979,0.502986697,0.986815672,0.477289729,0.986810992
60,0.489346553,0.985967797,0.465709329,0.99582196,0.492263507,0.984151644,0.466830822,0.941183979,0.476012399,0.986815672,0.487466335,0.986810992
61,0.479436877,0.985967797,0.478897178,0.99582196,0.475021312,0.984151644,0.479530285,0.941183979,0.504178354,0.986815672,0.472186788,0.986810992
62,0.488319185,0.985967797,0.480228549,0.99582196,0.488247961,0.984151644,0.454212739,0.941183979,0.490499645,0.986815672,0.491429986,0.986810992
63,0.508774397,0.985967797,0.471172108,0.99582196,0.472094602,0.984151644,0.490652336,0.941183979,0.502889218,0.986815672,0.489915264,0.986810992
64,0.526185622,0.985967797,0.475623153,0.99582196,0.473029263,0.984151644,0.460002748,0.944379706,0.475015171,0.986815672,0.487274177,0.986810992
65,0.490620072,0.985967797,0.501541718,0.99582196,0.488290505,0.984151644,0.488843596,0.944379706,0.501637397,0.986815672,0.47751026,0.986810992
66,0.495381596,0.985967797,0.501553306,0.99582196,0.479680112,0.984151644,0.460051438,0.944379706,0.493803019,0.986815672,0.49050483,0.986810992
67,0.505451372,0.985967797,0.473240695,1.000739612,0.482793011,0.984151644,0.473795557,0.944379706,0.512463535,0.986815672,0.501889961,0.986810992
68,0.508812016,0.985967797,0.475228826,1.000739612,0.491766922,0.984151644,0.473595087,0.944379706,0.468373476,0.98787723,0.488176137,0.986810992
69,0.491875769,0.985967797,0.479087952,1.000739612,0.490084678,0.984151644,0.47026226,0.944379706,0.478994293,0.98787723,0.487823614,0.986810992
70,0.533992425,0.985967797,0.503288793,1.034272852,0.495889424,0.984151644,0.4915811,0.944379706,0.507416207,0.98787723,0.512354883,0.986810992
71,0.499124134,0.985967797,0.485108695,1.034272852,0.471729057,0.984151644,0.498684397,0.944379706,0.459826582,0.98787723,0.506635727,0.986810992
72,0.512430641,0.985967797,0.48296,1.034272852,0.471831029,0.984151644,0.495843323,0.944379706,0.48932741,0.98787723,0.484209966,0.986810992
73,0.511905885,0.985967797,0.487395938,1.034272852,0.49716757,0.984151644,0.473777893,0.944379706,0.47818329,0.98787723,0.507956093,0.986810992
74,0.506320256,0.985967797,0.489876942,1.034272852,0.483988432,0.984151644,0.517130567,0.946794555,0.505545081,0.98787723,0.484823395,0.986810992
75,0.511477293,0.985967797,0.496616313,1.034272852,0.491140476,0.984151644,0.487745844,0.946794555,0.482727886,0.98787723,0.510307841,0.986810992
76,0.534751976,0.985967797,0.477039749,1.034272852,0.503994354,0.984151644,0.507963627,0.95551021,0.486849331,0.98787723,0.520355242,0.986810992
77,0.524525171,0.985967797,0.483219749,1.034272852,0.489198631,0.984151644,0.513965926,0.95551021,0.474470364,0.98787723,0.532891611,0.986810992
78,0.480249016,0.985967797,0.490035041,1.034272852,0.497485786,0.984151644,0.495906718,0.95551021,0.469874884,0.98787723,0.516845959,0.986810992
79,0.492683859,0.985967797,0.49993346,1.034272852,0.486689608,0.984151644,0.507182895,0.95551021,0.481868297,0.98787723,0.527441446,0.986810992
80,0.514799678,0.985967797,0.497336648,1.034272852,0.49645379,0.984151644,0.498785068,0.95551021,0.500415336,0.98787723,0.481601033,0.986810992
81,0.515094874,0.985967797,0.495245789,1.034272852,0.478055666,0.984151644,0.524765651,0.95551021,0.48246904,0.98787723,0.514300245,0.986810992
82,0.510820739,0.985967797,0.499211542,1.034272852,0.494459948,0.984151644,0.521983222,0.95551021,0.505215141,0.98787723,0.522408116,1.029397968
83,0.51516057,0.985967797,0.519310691,1.034272852,0.508134071,0.984151644,0.498534102,0.95551021,0.469359147,0.98787723,0.501381097,1.000444493
84,0.496408756,0.985967797,0.491940493,1.034272852,0.503315765,0.984151644,0.521989315,0.95551021,0.479582178,0.98787723,0.508588898,1.000444493
85,0.517895681,0.985967797,0.48605893,1.034272852,0.500123573,0.984151644,0.501541698,0.95551021,0.499978447,0.98787723,0.511516124,1.000444493
86,0.514664311,0.985967797,0.514837782,1.034272852,0.482424838,0.984151644,0.482555241,0.95551021,0.50651329,0.98787723,0.514526178,1.000444493
87,0.521857819,0.985967797,0.522019329,1.034272852,0.509906372,0.984151644,0.502001762,0.95551021,0.510022712,0.98787723,0.508363197,1.000444493
88,0.532173629,0.985967797,0.515514824,1.034272852,0.496727371,0.984151644,0.501577558,0.95551021,0.495171894,0.98787723,0.524009248,1.000444493
89,0.518514788,0.985967797,0.489188062,1.034272852,0.484269821,0.984151644,0.512159804,0.95551021,0.484256919,0.98787723,0.51709511,1.000444493
90,0.520634012,0.985967797,0.500140831,1.034272852,0.514231221,0.989016147,0.504981671,0.959891222,0.524773391,0.98787723,0.520643532,1.000444493
91,0.500476707,0.985967797,0.494601968,1.034272852,0.507573261,0.989016147,0.521452638,0.959891222,0.518510573,0.98787723,0.513850975,1.000444493
92,0.521247122,0.985967797,0.516437635,1.034272852,0.512024544,0.989016147,0.512295766,0.963273072,0.508574005,0.98787723,0.517729041,1.000444493
93,0.540141229,0.985967797,0.501422444,1.034272852,0.514437883,0.989016147,0.511133728,0.963273072,0.497726074,0.98787723,0.519920408,1.000444493
94,0.521437172,0.985967797,0.504729804,1.034272852,0.51648393,0.9907263,0.515606135,0.963273072,0.51835512,0.98787723,0.523137709,1.000444493
95,0.495029624,0.985967797,0.531571731,1.034272852,0.521683053,0.9907263,0.512342331,0.963273072,0.501154442,0.98787723,0.521005282,1.000444493
96,0.515066392,0.985967797,0.497983476,1.034272852,0.481977147,0.9907263,0.531542192,0.963273072,0.525728746,0.98787723,0.521965543,1.000444493
97,0.504380456,0.985967797,0.530199508,1.034272852,0.50724235,0.9907263,0.502930485,0.963273072,0.504794325,0.98787723,0.525739367,1.000444493
98,0.516579956,0.985967797,0.502806507,1.034272852,0.489175405,0.9907263,0.52454889,0.963273072,0.503876908,0.98787723,0.51123541,1.000444493
99,0.528537963,0.985967797,0.501293483,1.034272852,0.517163386,0.9907263,0.528731931,0.963273072,0.53063749,0.98787723,0.514701794,1.000444493
100,0.522775296,0.985967797,0.516626276,1.034272852,0.517429211,0.9907263,0.525736143,0.963273072,0.507157223,1.002800408,0.498232105,1.007802962
