generations,average_mean_10,average_max_10,average_mean_50,average_max_50,average_mean_100,average_max_100
1,0.361217006,5.493801117,0.417551374,9.805802663,0.997267758,11.46299744
2,1.669806276,5.494974772,1.26789102,10.44575342,1.466936663,11.64922206
3,2.359226569,5.5409139,2.953610874,11.44526736,2.725629536,12.71464475
4,3.228397943,6.912678719,3.124572675,13.71871503,3.372997032,12.71464475
5,3.914790273,7.929359118,3.856975799,14.14489555,3.657223664,13.643212
6,3.877354953,7.929359118,4.165862351,14.69699701,4.490929696,14.42012914
7,4.060547204,8.30440553,4.483413822,14.73742994,4.278261062,14.89813391
8,3.887978325,9.381978353,4.834871659,15.37189674,4.622895117,15.92462222
9,4.677283735,10.74003156,5.103342745,15.8204422,4.872298572,16.32971954
10,5.30096577,11.17850113,5.546275634,15.8204422,4.38754224,16.32971954
11,5.356418574,11.17850113,5.536970352,16.15227572,4.768553109,16.32971954
12,5.576168703,12.46907934,5.267009902,16.15227572,4.688614874,16.32971954
13,6.041302546,14.46701431,6.065223888,16.15853691,5.021660005,16.32971954
14,5.330102646,14.65517871,5.873567315,16.72947661,4.929462124,16.35109965
15,5.755403829,14.68740209,5.512868523,17.01624839,4.992098386,16.35110029
16,6.169588407,14.75720978,6.189889099,17.01624839,4.966178489,16.79562823
17,5.657089184,14.80246957,6.19383252,17.01624839,5.106403313,16.79562823
18,5.973519717,14.98327351,6.649469693,17.01624839,5.348328812,17.15692774
19,6.481337987,14.98327351,6.289273013,18.29262034,5.330704379,17.15692774
20,6.809356193,15.04767386,6.721474811,18.34807014,5.656999165,17.91820145
21,7.183406971,15.04767386,6.593039518,18.34807014,5.474246938,18.39164607
22,6.695097657,15.04767386,6.109836972,18.34807014,5.576647745,18.39164607
23,7.251069985,15.04767386,6.158640001,18.34807014,5.827234706,18.42386882
24,7.939306776,15.25440311,6.677590876,18.34807014,5.752666792,18.42386882
25,7.045213199,15.25440311,6.699218839,20.04171054,5.951424055,18.8276933
26,7.346164202,16.20218468,6.608984514,20.04171054,5.917597869,19.17160288
27,7.667957083,16.20218468,6.875313653,20.04171054,6.184774592,19.17160288
28,7.13593031,16.20218468,7.126265282,20.04171054,5.616244943,19.17160288
29,8.211282158,16.32853413,6.905989662,20.04171054,5.935468218,19.17160288
30,8.1132851,16.42758624,6.866652376,20.04171054,5.990865823,19.17160288
31,8.112277057,16.42758624,6.660541523,20.04171054,6.086012292,19.17160288
32,7.434223536,16.42758624,6.999744149,20.04171054,6.153449589,19.17160288
33,8.416248862,16.42758624,6.774592323,20.04171054,5.983461021,19.17160288
34,8.139996919,16.42758624,6.729613631,20.04171054,6.326748759,19.17160288
35,7.668294168,16.45981089,7.041150901,20.04171054,5.973426761,19.17160288
36,8.09921467,16.45981089,7.12419609,20.04171054,6.143316894,19.41573779
37,7.545470048,16.45981089,6.963675575,20.04171054,6.414886006,19.41573779
38,7.204871322,16.68780645,6.931598746,20.04171054,6.170913798,19.41573779
39,7.514951412,16.68780645,7.110731551,20.05732282,6.492900549,19.41573779
40,7.882083764,16.68780645,6.760765766,20.05732282,6.469109767,19.41573779
41,9.616614644,17.63053894,7.714418167,20.05732282,6.531170509,19.5186456
42,8.263697518,17.63053894,6.984347612,20.05732282,6.49016018,19.5186456
43,9.186395251,17.63053894,7.029658458,20.05732282,6.323637546,19.5186456
44,9.240707256,17.63053894,6.946277953,20.05732282,6.420286766,19.5186456
45,8.748935357,17.63053894,7.21152177,20.05732282,6.366927262,19.5186456
46,8.617508603,17.63053894,7.222450156,20.05732282,6.402009138,19.62880262
47,8.338456475,17.63053894,7.152131845,20.05732282,6.541306221,19.85449155
48,9.055984243,17.63053894,7.346530254,20.05732282,6.662979258,19.85449155
49,9.405259762,17.63053894,6.965926277,20.05732282,6.15520376,19.85449155
50,8.771899654,17.63053894,7.402843816,20.05732282,6.439468085,19.85449155
51,8.971715476,17.63053894,6.95041679,20.05732282,6.403138668,19.85449155
52,9.639043812,18.55440267,7.256963305,20.05732282,6.667224182,19.85449155
53,9.130667149,18.57762782,7.226714442,20.05732282,6.81784415,19.85449155
54,10.01600594,18.65785853,7.135767648,20.05732282,6.657676574,19.85449155
55,9.559115426,18.65785853,7.284659552,20.05732282,6.394428642,19.85449155
56,9.090479182,18.65785853,7.258865829,20.05732282,6.260847813,19.85449155
57,10.33850421,18.65785853,7.44165402,20.05732282,6.28531599,19.85449155
58,9.042123881,18.65785853,7.434738219,20.057326,6.507952759,19.85449155
59,9.964198685,18.65785853,7.691547522,20.057326,6.284403767,19.85449155
60,9.671749681,18.65785853,7.419170342,20.057326,6.713470074,19.85449155
61,10.2685668,18.66428757,7.369220356,20.057326,6.70713245,19.85449155
62,10.25669218,18.66428757,7.598039101,20.057326,6.763058115,19.85449155
63,9.975027915,18.66428757,7.327448083,20.057326,6.459316174,19.85449155
64,10.08488145,19.49862353,7.330450175,20.057326,6.129003669,19.85449155
65,10.3091459,19.49862353,7.289985479,20.08653196,6.517286369,19.85449155
66,10.50406669,19.49862353,7.451678105,20.08653196,6.328320012,20.04525884
67,9.502545854,19.49862353,7.452745702,20.08653196,6.23896382,20.04525884
68,9.314663422,19.49862353,7.36341512,20.08653196,6.778537409,20.04525884
69,9.934104506,19.49862353,7.38590646,20.60489146,6.731395036,20.04525884
70,10.44279603,19.49862353,7.167548427,20.60489146,6.638889886,20.04525884
71,10.09790815,19.49862353,7.139809835,20.60489146,6.816232973,20.04525884
72,9.634412985,19.49862353,7.14663665,20.60489146,6.663875415,20.04525884
73,8.463445552,19.49862353,7.475968143,20.60489146,6.600611546,20.04525884
74,9.824814793,19.49862353,7.328780574,20.60489146,6.743448759,20.04525884
75,9.218032858,19.49862353,7.509284773,20.60489146,6.701188357,20.04525884
76,9.292910263,19.49862353,6.807658882,20.60489146,6.746480225,20.04525884
77,9.190964095,19.49862353,7.425295323,20.60489146,6.877329283,20.04525884
78,9.628352737,19.49862353,7.352526386,20.60489146,6.74757725,20.04525884
79,9.639101117,19.49862353,7.039946325,20.60489146,6.882403808,20.28277842
80,10.02896324,19.49862353,7.035417393,20.60489146,7.192071279,20.30599976
81,9.425457119,19.49862353,7.403376687,20.60489146,7.082055506,20.30599976
82,9.551122581,19.49862353,7.487135068,20.60489146,7.348711372,20.30599976
83,9.727194136,19.49862353,7.413931318,20.60489146,7.027058972,20.30599976
84,9.898957656,19.49862353,7.369984894,20.60489146,7.145192146,20.30599976
85,9.663883336,19.49862353,7.289925613,20.60489146,6.838693917,20.30599976
86,9.21405089,20.04618963,7.714611314,20.60489146,7.084504948,20.30599976
87,10.25172469,20.04618963,7.383198406,20.60489146,6.851806325,20.30599976
88,10.60197427,20.04618963,7.167129204,20.60489146,6.949734536,20.30599976
89,11.08648314,20.04618963,7.169982908,20.60489146,7.119258149,20.30599976
90,10.10114799,20.04618963,7.651019258,20.60489146,7.010034395,20.30599976
91,9.112362667,20.04618963,6.803683983,20.68539365,6.90085126,20.48548126
92,9.798158328,20.04618963,6.656990168,20.68539365,6.98453627,20.48548126
93,10.00898527,20.04618963,7.073868173,20.68539365,7.05991418,20.48548126
94,10.62664759,20.04618963,7.375370598,20.68539365,7.078779093,20.48548126
95,9.79916521,20.04618963,6.949594955,20.68539365,6.984705768,20.48548126
96,10.16825113,20.04618963,7.382707756,20.68539365,7.243713851,20.48548126
97,9.453718217,20.04618963,7.38720594,20.68539365,7.223308055,20.48548126
98,10.92921604,20.04618963,7.43732328,20.68539365,7.226406365,20.48548126
99,9.338377292,20.04618963,7.417167454,20.68539365,7.336667891,20.48548126
100,10.06184935,20.04618963,7.68007465,20.68539365,6.836090083,20.67624728
